fotmob_player_id,sportsapi_player_id,player_name,team_name,competition_name,season_name,tournament_id,season_id,heatmap_key,activity_filter,in_box_ratio,out_box_final_ratio,mid_third_ratio,final_third_ratio,sample_points,generated_at
400625,171961,Vincenzo Grifo,,Bundesliga,2025/2026,35,77333,400625:35:77333,cluster-v1,3,33,64,36,628,2026-08-08T00:40:07.685881+00:00
772193,877544,Ragnar Ache,,Bundesliga,2025/2026,35,77333,772193:35:77333,cluster-v1,22,33,45,55,467,2026-08-08T00:40:09.702449+00:00
959594,940054,Karim Adeyemi,,Bundesliga,2025/2026,35,77333,959594:35:77333,cluster-v1,16,53,31,69,411,2026-08-08T00:40:11.685000+00:00
625175,253993,Grischa Prömel,,Bundesliga,2025/2026,35,77333,625175:35:77333,cluster-v1,4,27,69,31,924,2026-08-08T00:40:13.694313+00:00
1161211,929620,Fabian Rieder,,Bundesliga,2025/2026,35,77333,1161211:35:77333,cluster-v1,3,42,55,45,1003,2026-08-08T00:40:16.191003+00:00
686315,822340,Phillip Tietz,,Bundesliga,2025/2026,35,77333,686315:35:77333,cluster-v1,16,37,47,53,703,2026-08-08T00:40:18.517859+00:00
198316,111483,Michael Gregoritsch,,Bundesliga,2025/2026,35,77333,198316:35:77333,cluster-v1,18,28,54,46,217,2026-08-08T00:40:20.799582+00:00
609504,608362,Oliver Burke,,Bundesliga,2025/2026,35,77333,609504:35:77333,cluster-v1,12,55,33,67,493,2026-08-08T00:40:22.774682+00:00
1126058,975798,Malik Tillman,,Bundesliga,2025/2026,35,77333,1126058:35:77333,cluster-v1,7,41,52,48,870,2026-08-08T00:40:26.927568+00:00
1310103,1129365,Anton Kade,,Bundesliga,2025/2026,35,77333,1310103:35:77333,cluster-v1,15,43,42,58,621,2026-08-08T00:40:28.762391+00:00
674242,149728,Budu Zivzivadze,,Bundesliga,2025/2026,35,77333,674242:35:77333,cluster-v1,12,43,45,55,266,2026-08-08T00:40:30.675752+00:00
1624586,1568123,Bazoumana Touré,,Bundesliga,2025/2026,35,77333,1624586:35:77333,cluster-v1,14,48,38,62,941,2026-08-08T00:40:32.837553+00:00
1966055,953767,Andrej Ilić,,Bundesliga,2025/2026,35,77333,1966055:35:77333,cluster-v1,17,37,46,54,768,2026-08-08T00:40:34.974456+00:00
629805,790965,Ritsu Doan,,Bundesliga,2025/2026,35,77333,629805:35:77333,cluster-v1,7,46,47,53,916,2026-08-08T00:40:37.456809+00:00
1251666,1119502,Ernest Poku,,Bundesliga,2025/2026,35,77333,1251666:35:77333,cluster-v1,15,54,31,69,529,2026-08-08T00:40:39.517504+00:00
1737700,1861975,Lennart Karl,,Bundesliga,2025/2026,35,77333,1737700:35:77333,cluster-v1,9,48,43,57,821,2026-08-08T00:40:41.540222+00:00
749488,830127,Romano Schmid,,Bundesliga,2025/2026,35,77333,749488:35:77333,cluster-v1,5,44,51,49,1596,2026-08-08T00:40:43.602449+00:00
689065,822877,Alexis Claude-Maurice,,Bundesliga,2025/2026,35,77333,689065:35:77333,cluster-v1,8,37,55,45,871,2026-08-08T00:40:47.916137+00:00
1705081,2029648,Christian Kofane,,Bundesliga,2025/2026,35,77333,1705081:35:77333,cluster-v1,33,38,29,71,223,2026-08-08T00:40:49.826910+00:00
1137364,1005343,Justin Njinmah,,Bundesliga,2025/2026,35,77333,1137364:35:77333,cluster-v1,16,47,37,63,537,2026-08-08T00:40:51.934471+00:00
1164506,983540,Tiago Tomás,,Bundesliga,2025/2026,35,77333,1164506:35:77333,cluster-v1,11,39,50,50,314,2026-08-08T00:40:56.437062+00:00
157723,105734,Christian Eriksen,,Bundesliga,2025/2026,35,77333,157723:35:77333,cluster-v1,2,30,68,32,1077,2026-08-08T00:40:58.684058+00:00
