sportsapi_player_id,fotmob_player_id,name,team_name
1048888,1288111,Mathys Tel,
996985,1077975,Armando Broja,
361352,519835,Adam Armstrong,
786186,620026,Hwang Hee-chan,
876599,821100,Jørgen Strand Larsen,
987734,1072864,Tolu Arokodare,
809276,655575,Jacob Bruun Larsen,
795066,637744,Marcus Edwards,
873554,839204,Omar Marmoush,
803039,660301,Donyell Malen,
877980,887703,Wilson Isidor,
1881902,1597668,Rio Ngumoha,
871706,823825,Randal Kolo Muani,
966547,1084981,Noni Madueke,
1142679,1341387,Wilson Odobert,
836694,750032,Mason Mount,
991478,1079557,Amine Adli,
359664,643717,Taiwo Awoniyi,
960441,1095432,Charles De Ketelaere,
823984,690230,Lautaro Martínez,
791702,621562,Marcus Thuram,
965008,1030212,Sebastiano Esposito,
253367,364520,Domenico Berardi,
979222,1185336,Francisco Conceição,
830858,724368,Keinan Davis,
803039,660301,Donyell Malen,
894863,873270,Anastasios Douvikas,
1086417,1199272,Rasmus Højlund,
341143,469615,Giovanni Simeone,
284363,543306,Federico Bonazzoli,
807301,721089,Gianluca Scamacca,
851284,848844,Rafael Leão,
826198,750030,Andrea Pinamonti,
1099296,1224237,Mateo Pellegrino,
835601,747926,Moise Kean,
932643,935769,Armand Laurienté,
769333,704523,Christopher Nkunku,
1156616,1367618,Francesco Pio Esposito,
1116577,1282008,Santiago Castro,
173827,286119,Jamie Vardy,
1217613,1368557,Gift Orban,
346948,506776,Stefano Moreo,
930191,1050163,Lorenzo Colombo,
935564,939569,Jonathan David,
864898,818893,Nicolò Zaniolo,
1086223,1199383,Ange-Yoan Bonny,
788061,613334,M'bala Nzola,
958982,1017401,Roberto Piccoli,
976381,1016093,Gustav Isaksen,
125407,213501,Álvaro Morata,
1069244,1282285,Tijjani Noslin,
256219,325916,Paulo Dybala,
1170773,1285599,Giovane,
971005,1044029,Nicolò Cambiaghi,
367056,643229,Jérémie Boga,
850993,793066,David Neres,
280439,426880,Maxwel Cornet,
829581,720649,Nicholas Pierini,
1029456,952325,Faris Moumbagna,
962364,1212630,Lorenzo Lucca,
1155571,1308892,Iker Bravo,
865651,951743,Giacomo Raspadori,
1520771,1554575,Francesco Camarda,
1152477,1775258,Ioan Vermesan,
856065,822589,Pontus Almqvist,
1031548,1159233,Alieu Fadera,
877835,888745,Nicolas-Gerrit Kühn,
984998,1039403,Santiago Pierotti,
856737,846761,Zakaria Aboukhlal,
1152386,1305763,Rafiu Durosinmi,
1017649,1146500,Matteo Cancellieri,
1486729,1460253,Nesta Elphege,
875136,837341,Noa Lang,
1019442,1130691,Kamaldeen Sulemana,
796455,644738,Vakoun Issouf Bayo,
888219,1003368,Junior Messias,
1615784,1861022,Yael Trepy,
1613917,1669628,Jeff Ekhator,
605374,801213,Tete Morente,
983601,982617,Kieron Bowie,
294597,414245,Federico Bernardeschi,
220223,309726,Andrea Belotti,
850971,793048,Manuel De Luca,
928295,920861,Adrian Benedyczak,
293581,541555,Mattia Zaccagni,
38162,116555,Duván Zapata,
893640,933817,Riccardo Sottil,
970928,1072054,Daniel Maldini,
887766,862616,Edon Zhegrova,
309156,424614,Caleb Ekuban,
979479,1030646,Gennaro Borrelli,
1138856,557396,Adam Buksa,
917485,1078113,Walid Cheddira,
1065261,1113694,Jonathan Rowe,
877037,994403,Cyril Ngonge,
892141,954092,Santiago Giménez,
877013,823658,Valentín Castellanos,
1069560,1320863,Antonio Vergara,
45925,161328,Stephan El Shaarawy,
831290,740161,David Okereke,
