fotmob_player_id,player_name,team_name,competition_name,season_name,reason
653577,Merveille Bokadi,Standard Liege,Belgian Pro League,2022/2023,missing_heatmap_session
202471,Noë Dussenne,Standard Liege,Belgian Pro League,2022/2023,missing_heatmap_session
848568,Pape Guèye,Kortrijk,Belgian Pro League,2022/2023,missing_heatmap_session
662834,Regan Charles-Cook,Eupen,Belgian Pro League,2022/2023,missing_heatmap_session
354175,Sandy Walsh,KV Mechelen,Belgian Pro League,2022/2023,missing_heatmap_session
160599,Toby Alderweireld,Royal Antwerp,Belgian Pro League,2022/2023,missing_heatmap_session
1023887,Tsuyoshi Watanabe,Kortrijk,Belgian Pro League,2022/2023,missing_heatmap_session
664533,Vagner,RFC Seraing,Belgian Pro League,2022/2023,missing_heatmap_session
929781,Yonas Malede,KV Mechelen,Belgian Pro League,2022/2023,missing_heatmap_session
613714,Jordan Pefok,Union Berlin,Bundesliga,2022/2023,sportsapi_id_unresolved
1040889,Junior Dina Ebimbe,Eintracht Frankfurt,Bundesliga,2022/2023,sportsapi_id_unresolved
959404,Silas Katompa Mvumpa,VfB Stuttgart,Bundesliga,2022/2023,sportsapi_id_unresolved
1097467,Dirk Proper,NEC Nijmegen,Eredivisie,2022/2023,sportsapi_id_unresolved
213682,Iiass Bel Hassani,RKC Waalwijk,Eredivisie,2022/2023,sportsapi_id_unresolved
703044,Landry Dimata,NEC Nijmegen,Eredivisie,2022/2023,sportsapi_id_unresolved
839476,Othman Boussaid,FC Utrecht,Eredivisie,2022/2023,sportsapi_id_unresolved
774237,Willum Willumsson,Go Ahead Eagles,Eredivisie,2022/2023,sportsapi_id_unresolved
737444,Amath Ndiaye,Mallorca,LaLiga,2022/2023,sportsapi_id_unresolved
210282,Anthony Lozano,Cadiz,LaLiga,2022/2023,sportsapi_id_unresolved
202610,Fidel Chaves,Elche,LaLiga,2022/2023,sportsapi_id_unresolved
474589,José Giménez,Atletico Madrid,LaLiga,2022/2023,sportsapi_id_unresolved
1052993,Nico Melamed,Espanyol,LaLiga,2022/2023,sportsapi_id_unresolved
309334,Saúl,Atletico Madrid,LaLiga,2022/2023,sportsapi_id_unresolved
208929,Brecht Dejaeghere,Toulouse,Ligue 1,2022/2023,sportsapi_id_unresolved
1138769,David Da Costa,Lens,Ligue 1,2022/2023,heatmap_request_failed
601145,Habibou Mouhamadou Diallo,Strasbourg,Ligue 1,2022/2023,sportsapi_id_unresolved
1092903,Muhammed Cham,Clermont Foot,Ligue 1,2022/2023,heatmap_request_failed
179823,Ryad Nouri,AC Ajaccio,Ligue 1,2022/2023,sportsapi_id_unresolved
262550,Bobby Reid,Fulham,Premier League,2022/2023,sportsapi_id_unresolved
188058,Daniel Burn,Newcastle United,Premier League,2022/2023,sportsapi_id_unresolved
795179,Gabriel,Arsenal,Premier League,2022/2023,sportsapi_id_unresolved
841352,Abdul-Aziz Yakubu,Rio Ave,Primeira Liga,2022/2023,heatmap_request_failed
919919,André,Vitoria de Guimaraes,Primeira Liga,2022/2023,heatmap_request_failed
1248736,Antony,Arouca,Primeira Liga,2022/2023,heatmap_request_failed
689051,Arthur,Estoril,Primeira Liga,2022/2023,sportsapi_id_unresolved
816001,Carvalho,Gil Vicente,Primeira Liga,2022/2023,sportsapi_id_unresolved
848051,Juan Manuel Boselli,Gil Vicente,Primeira Liga,2022/2023,sportsapi_id_unresolved
320618,Mateus Uribe,FC Porto,Primeira Liga,2022/2023,sportsapi_id_unresolved
875133,Pote,Sporting CP,Primeira Liga,2022/2023,sportsapi_id_unresolved
737814,Xadas,Maritimo,Primeira Liga,2022/2023,sportsapi_id_unresolved
526450,Emmanuel Quartsin Gyasi,Spezia,Serie A,2022/2023,sportsapi_id_unresolved
178538,Filip Djuricic,Sampdoria,Serie A,2022/2023,sportsapi_id_unresolved
857269,Gleison Bremer,Juventus,Serie A,2022/2023,sportsapi_id_unresolved
862538,Ibañez,Roma,Serie A,2022/2023,sportsapi_id_unresolved
109338,Marco Davide Faraoni,Hellas Verona,Serie A,2022/2023,sportsapi_id_unresolved
882163,Chukwubuike Adamu,Salzburg,UEFA Champions League,2022/2023,sportsapi_id_unresolved
320618,Mateus Uribe,FC Porto,UEFA Champions League,2022/2023,sportsapi_id_unresolved
976506,Mykhaylo Mudryk,Shakhtar Donetsk,UEFA Champions League,2022/2023,sportsapi_id_unresolved
547710,Adama Traoré,Ferencvaros,UEFA Europa League,2022/2023,heatmap_request_failed
862538,Ibañez,Roma,UEFA Europa League,2022/2023,sportsapi_id_unresolved
129918,Alfred Finnbogason,Eupen,Belgian Pro League,2023/2024,missing_heatmap_session
1256178,Bjorn Meijer,Club Brugge,Belgian Pro League,2023/2024,missing_heatmap_session
445873,Brandon Mechele,Club Brugge,Belgian Pro League,2023/2024,missing_heatmap_session
332300,Christian Burgess,Union St.Gilloise,Belgian Pro League,2023/2024,missing_heatmap_session
1452385,Christopher Bonsu Baah,Genk,Belgian Pro League,2023/2024,missing_heatmap_session
470399,David Bates,KV Mechelen,Belgian Pro League,2023/2024,missing_heatmap_session
892709,Dennis Eckert,Union St.Gilloise,Belgian Pro League,2023/2024,missing_heatmap_session
1075033,Gary Magnée,Eupen,Belgian Pro League,2023/2024,missing_heatmap_session
435151,Hayao Kawabe,Standard Liege,Belgian Pro League,2023/2024,missing_heatmap_session
925345,Hyun-Seok Hong,Gent,Belgian Pro League,2023/2024,missing_heatmap_session
1473998,Ilay Camara,RWDM Brussels,Belgian Pro League,2023/2024,missing_heatmap_session
737073,Jonatan Braut Brunes,OH Leuven,Belgian Pro League,2023/2024,missing_heatmap_session
1316930,Jordan Bos,Westerlo,Belgian Pro League,2023/2024,missing_heatmap_session
166681,Joren Dom,OH Leuven,Belgian Pro League,2023/2024,missing_heatmap_session
873236,Jón Thorsteinsson,OH Leuven,Belgian Pro League,2023/2024,missing_heatmap_session
923400,Kamal Sowah,Standard Liege,Belgian Pro League,2023/2024,missing_heatmap_session
727817,Koki Machida,Union St.Gilloise,Belgian Pro League,2023/2024,missing_heatmap_session
1110376,Kyan Vaesen,Westerlo,Belgian Pro League,2023/2024,missing_heatmap_session
1134871,Maxim De Cuyper,Club Brugge,Belgian Pro League,2023/2024,missing_heatmap_session
869780,Mory Konaté,KV Mechelen,Belgian Pro League,2023/2024,missing_heatmap_session
1385771,Nachon Nsingi,OH Leuven,Belgian Pro League,2023/2024,missing_heatmap_session
1107547,Ravil Tagir,Westerlo,Belgian Pro League,2023/2024,missing_heatmap_session
662834,Regan Charles-Cook,Eupen,Belgian Pro League,2023/2024,missing_heatmap_session
768266,Ross Sykes,Union St.Gilloise,Belgian Pro League,2023/2024,missing_heatmap_session
354175,Sandy Walsh,KV Mechelen,Belgian Pro League,2023/2024,missing_heatmap_session
608125,Sheyi Ojo,Kortrijk,Belgian Pro League,2023/2024,missing_heatmap_session
