player_id,player_name,season_name,league_id,league_name,team_id,team_name,position,position_group,goals,xg,xgot,minutes_played,dribbles_succeeded,dribbles_success_rate,dispossessed,fouls_won,penalties_awarded,duels_won,duels_won_percentage,aerial_duels_won,aerial_duels_won_percentage,in_box_goals,in_box_xg,in_box_xgot,in_box_shots,out_box_goals,out_box_xg,out_box_xgot,out_box_shots
1174337,Savinho,2025/2026,47,Premier League,8456,,Left Winger,,1.0,2.33,1.59,821.0,17.0,32.1,9.0,15.0,1.0,41.0,40.6,,,1.0,2.383980124257505,1.587466470897198,20.0,0.0,0.0,0.0,0.0
1021586,Gabriel Martinelli,2025/2026,47,Premier League,9825,,Left Winger,,1.0,3.99,2.7,1073.0,22.0,57.9,26.0,14.0,0.0,55.0,42.3,8.0,30.8,1.0,3.7877367231994867,2.074148559942841,26.0,0.0,0.216950505971909,0.5589691251516347,3.0
439369,Ryan Christie,2025/2026,47,Premier League,8678,,Defensive Midfielder,,2.0,1.92,2.61,986.0,19.0,48.7,15.0,22.0,0.0,80.0,50.0,13.0,46.4,2.0,1.4080893397331244,1.8929193988442412,9.0,0.0,0.5734041305258868,0.6763947922736406,16.0
933576,Antoine Semenyo,2025/2026,47,Premier League,8678,,Right Winger,,17.0,11.09,13.02,3200.0,59.0,44.4,63.0,21.0,0.0,184.0,40.4,59.0,49.2,13.0,9.984659912142156,11.168386932462454,61.0,4.0,1.2415075935423372,1.5060956161469221,22.0
863098,Matheus Cunha,2025/2026,47,Premier League,10260,,Striker,F,10.0,7.06,7.18,2503.0,44.0,48.4,53.0,54.0,2.0,164.0,46.5,28.0,37.8,8.0,5.788528216071427,6.099818296730519,51.0,2.0,1.2482647709548476,1.5054328925907607,39.0
906937,Anthony Gordon,2025/2026,47,Premier League,10261,,Left Winger,,6.0,8.83,6.19,1814.0,33.0,47.1,26.0,40.0,1.0,100.0,46.9,8.0,23.5,6.0,8.10530594934225,5.28761421330273,32.0,0.0,0.6858565481379623,0.893605073913933,16.0
843040,Pedro Neto,2025/2026,47,Premier League,8455,,Right Winger,,5.0,4.61,3.83,2643.0,47.0,45.2,25.0,25.0,0.0,100.0,40.3,9.0,27.3,4.0,4.012667424976825,3.5909922868013378,31.0,1.0,0.6260237945243717,0.241921931505203,15.0
1609213,Mateus Mané,2025/2026,47,Premier League,8602,,Attacking Midfielder,M,3.0,2.01,3.41,1790.0,31.0,36.9,41.0,47.0,2.0,114.0,40.3,8.0,17.4,0.0,0.8263722378760571,0.4585543945431704,12.0,3.0,1.1574873812496658,3.0927572138607506,30.0
1197655,Lewis Hall,2025/2026,47,Premier League,10261,,Left Back,,1.0,1.01,0.88,2179.0,37.0,54.4,38.0,41.0,0.0,158.0,54.3,26.0,44.8,0.0,0.44705795310437735,0.5001257359981541,8.0,1.0,0.5625495221465827,0.3792869905009867,17.0
1152455,Florian Wirtz,2025/2026,47,Premier League,8650,,Left Winger,,5.0,7.03,6.52,2388.0,39.0,52.7,36.0,19.0,0.0,99.0,39.9,7.0,14.9,5.0,6.301158249378203,6.157124441117047,36.0,0.0,0.5879122586920859,0.25963397324085213,15.0
1526689,Álex Jiménez,2025/2026,47,Premier League,8678,,Right Back,,1.0,1.13,1.14,2323.0,39.0,52.0,20.0,20.0,0.0,141.0,50.9,13.0,37.1,1.0,0.9045111853629355,0.8200421333312979,9.0,0.0,0.31269932398572553,0.154646158218384,12.0
846383,Callum Hudson-Odoi,2025/2026,47,Premier League,10203,,Left Winger,,3.0,2.8,2.7,1844.0,30.0,51.7,22.0,12.0,0.0,59.0,43.1,3.0,25.0,2.0,2.466392248868942,2.2693647481501094,18.0,1.0,0.29511443339288235,0.4100524894893164,12.0
