fotmob_player_id,sportsapi_player_id,player_name,team_name,tournament_id,season_id,mid_third_ratio,final_third_ratio,sample_points,generated_at
1213430,979315,Elye Wahi,,35,77333,49,51,144,2026-08-07T08:17:54.420680+00:00
1515977,1462742,Ilyas Ansah,,35,77333,43,57,782,2026-08-07T08:17:56.555239+00:00
1203194,1088896,Johan Bakayoko,,35,77333,46,54,397,2026-08-07T08:17:58.463822+00:00
947901,939830,Jonathan Burkardt,,35,77333,48,52,411,2026-08-07T08:22:05.239319+00:00
772193,877544,Ragnar Ache,,35,77333,46,54,638,2026-08-07T08:22:18.422691+00:00
1367614,1152505,Nelson Weiper,,35,77333,40,60,295,2026-08-07T08:22:27.106046+00:00
701154,826643,Kylian Mbappé,,8,77559,30,70,1289,2026-08-07T08:22:42.553899+00:00
846033,868812,Vinícius Júnior,,8,77559,29,71,1250,2026-08-07T08:22:44.895531+00:00
575735,593526,Nicolas Pépé,,8,77559,43,57,1145,2026-08-07T08:22:47.499126+00:00
517052,310874,Vedat Muriqi,,8,77559,53,47,1165,2026-08-07T08:22:50.027994+00:00
678234,823622,Mikel Oyarzabal,,8,77559,48,52,1231,2026-08-07T08:22:51.830008+00:00
640123,831253,Toni Martínez,,8,77559,53,47,1128,2026-08-07T08:22:54.325977+00:00
251269,37318,Ante Budimir,,8,77559,50,50,919,2026-08-07T08:22:56.828573+00:00
881771,855833,Ferran Torres,,8,77559,43,57,679,2026-08-07T08:22:59.132398+00:00
1117069,1009372,Georges Mikautadze,,8,77559,46,54,744,2026-08-07T08:23:03.994009+00:00
440330,309078,Alexander Sørloth,,8,77559,48,52,758,2026-08-07T08:23:06.390198+00:00
561164,814385,Lucas Boyé,,8,77559,46,54,987,2026-08-07T08:23:11.165453+00:00
1610744,1649918,Carlos Espí,,8,77559,47,53,533,2026-08-07T08:23:13.411350+00:00
958640,946381,Akor Adams,,8,77559,43,57,713,2026-08-07T08:23:15.753148+00:00
711231,605672,Gorka Guruzeta,,8,77559,43,57,936,2026-08-07T08:23:18.374638+00:00
797901,900003,Jorge de Frutos,,8,77559,34,66,798,2026-08-07T08:23:20.880103+00:00
929838,909119,Hugo Duro,,8,77559,54,46,692,2026-08-07T08:23:28.345446+00:00
1097229,1026015,Orri Óskarsson,,8,77559,46,54,270,2026-08-07T08:23:34.875165+00:00
696365,814590,Marcus Rashford,,8,77559,29,71,952,2026-08-07T08:23:37.393153+00:00
183353,84972,Kike García,,8,77559,45,55,776,2026-08-07T08:23:42.244546+00:00
640492,825754,Rafa Mir,,8,77559,44,56,698,2026-08-07T08:23:44.566837+00:00
184138,85859,Antoine Griezmann,,8,77559,50,50,868,2026-08-07T08:23:48.870177+00:00
1392779,1393673,Etta Eyong,,8,77559,50,50,656,2026-08-07T08:23:51.263250+00:00
1209441,1014042,Iván Romero,,8,77559,49,51,1069,2026-08-07T08:23:56.272043+00:00
1077915,909966,Largie Ramazani,,8,77559,45,55,633,2026-08-07T08:24:00.544419+00:00
988197,1430667,Urko Izeta,,8,77559,37,63,123,2026-08-07T08:24:05.008137+00:00
245311,146852,Abdón Prats,,8,77559,43,57,61,2026-08-07T08:24:09.103880+00:00
1242132,1099175,Jon Karrikaburu,,8,77559,37,63,62,2026-08-07T08:24:10.980898+00:00
1425206,1520799,Maroan Sannadi,,8,77559,43,57,137,2026-08-07T08:24:14.410372+00:00
951743,865651,Giacomo Raspadori,,8,77559,48,52,134,2026-08-07T08:24:16.411609+00:00
1323022,1086346,Iker Benito,,8,77559,50,50,103,2026-08-07T08:24:18.474073+00:00
864154,891505,Goduine Koyalipou,,8,77559,38,62,109,2026-08-07T08:24:20.108127+00:00
477472,344129,José Luis Morales,,8,77559,40,60,191,2026-08-07T08:24:22.842587+00:00
430856,309546,Takuma Asano,,8,77559,41,59,268,2026-08-07T08:24:26.921269+00:00
1338740,1172477,Tani Oluwaseyi,,8,77559,44,56,324,2026-08-07T08:24:29.208881+00:00
1675933,1914318,Marc Domenech,,8,77559,37,63,68,2026-08-07T08:24:30.709724+00:00
495222,352544,Sheraldo Becker,,8,77559,42,58,85,2026-08-07T08:24:32.825846+00:00
1379196,1173575,Jones El-Abdellaoui,,8,77559,32,68,287,2026-08-07T08:24:35.153343+00:00
1553105,1145642,Víctor Muñoz,,8,77559,39,61,1241,2026-08-07T08:24:37.564170+00:00
191873,96369,Juanmi,,8,77559,51,49,72,2026-08-07T08:24:39.612380+00:00
980422,910024,Sergio Camello,,8,77559,50,50,396,2026-08-07T08:24:43.460150+00:00
1130991,1018190,Isaac Romero,,8,77559,49,51,682,2026-08-07T08:24:46.118319+00:00
837270,875890,Chidera Ejuke,,8,77559,45,55,617,2026-08-07T08:24:48.655189+00:00
590494,754710,Umar Sadiq,,8,77559,45,55,514,2026-08-07T08:24:53.545281+00:00
58294,32048,Cristhian Stuani,,8,77559,42,58,133,2026-08-07T08:24:55.296513+00:00
1202525,1084730,Bryan Zaragoza,,8,77559,37,63,526,2026-08-07T08:24:57.666556+00:00
479020,345195,Ayoze Pérez,,8,77559,53,47,501,2026-08-07T08:25:00.111490+00:00
690516,824200,Ademola Lookman,,8,77559,33,67,296,2026-08-07T08:25:02.603312+00:00
50047,34120,Alexis Sánchez,,8,77559,48,52,665,2026-08-07T08:25:04.420769+00:00
361724,789381,Chimy Ávila,,8,77559,45,55,190,2026-08-07T08:25:06.517510+00:00
895362,910536,Rodrygo,,8,77559,35,65,521,2026-08-07T08:25:08.842031+00:00
994403,877037,Cyril Ngonge,,8,77559,47,53,220,2026-08-07T08:25:11.034587+00:00
704151,827064,Arnaut Danjuma,,8,77559,42,58,621,2026-08-07T08:25:18.661280+00:00
1344677,1170693,Mateo Joseph,,8,77559,46,54,636,2026-08-07T08:25:21.186320+00:00
1607566,1403559,Franco Mastantuono,,8,77559,45,55,668,2026-08-07T08:25:25.290332+00:00
1315475,1162107,Roony Bardghji,,8,77559,36,64,437,2026-08-07T08:25:27.764729+00:00
1215735,974713,Luis Vázquez,,8,77559,51,49,470,2026-08-07T08:25:30.168579+00:00
950473,942116,Mason Greenwood,,34,77356,47,53,1439,2026-08-07T08:25:37.450958+00:00
254308,148824,Florian Thauvin,,34,77356,46,54,1427,2026-08-07T08:25:40.184453+00:00
1297165,996952,Bradley Barcola,,34,77356,33,67,943,2026-08-07T08:25:42.586393+00:00
445856,227862,Wesley Saïd,,34,77356,55,45,871,2026-08-07T08:25:45.173540+00:00
955411,911851,Yann Gboho,,34,77356,46,54,1192,2026-08-07T08:25:47.882462+00:00
1331097,1174462,Pablo Pagis,,34,77356,53,47,862,2026-08-07T08:25:50.418107+00:00
1103837,1001458,Issa Soumaré,,34,77356,47,53,1214,2026-08-07T08:25:52.348174+00:00
1367047,1215906,Afonso Moreira,,34,77356,37,63,833,2026-08-07T08:25:54.888908+00:00
982677,934237,Folarin Balogun,,34,77356,38,62,741,2026-08-07T08:26:04.547913+00:00
923196,927005,Lassine Sinayoko,,34,77356,43,57,1263,2026-08-07T08:26:07.989507+00:00
637746,795228,Odsonne Édouard,,34,77356,43,57,580,2026-08-07T08:26:10.422785+00:00
1086012,962883,Ansu Fati,,34,77356,54,46,570,2026-08-07T08:26:16.263250+00:00
692984,818244,Ousmane Dembélé,,34,77356,41,59,770,2026-08-07T08:26:18.722563+00:00
150565,51498,Pierre-Emerick Aubameyang,,34,77356,45,55,691,2026-08-07T08:26:21.206742+00:00
471153,343971,Ludovic Ajorque,,34,77356,54,46,1190,2026-08-07T08:26:26.235985+00:00
900433,889259,Khvicha Kvaratskhelia,,34,77356,41,59,1067,2026-08-07T08:26:28.757741+00:00
844437,859026,Amine Gouiri,,34,77356,46,54,619,2026-08-07T08:26:31.297849+00:00
527103,352296,Breel Embolo,,34,77356,48,52,703,2026-08-07T08:26:33.881469+00:00
1339208,1154605,Désiré Doué,,34,77356,42,58,1116,2026-08-07T08:26:36.357131+00:00
46469,39070,Olivier Giroud,,34,77356,51,49,527,2026-08-07T08:26:38.399092+00:00
813055,876600,Mousa Tamari,,34,77356,37,63,1026,2026-08-07T08:26:41.124249+00:00
1250492,999070,Matthis Abline,,34,77356,40,60,890,2026-08-07T08:26:44.149527+00:00
1320949,1128844,Emersonn,,34,77356,44,56,627,2026-08-07T08:26:46.752141+00:00
940087,934510,Gonçalo Ramos,,34,77356,41,59,590,2026-08-07T08:26:48.350123+00:00
1421275,1140859,Hamza Igamane,,34,77356,40,60,266,2026-08-07T08:26:53.031029+00:00
1324358,1169436,Frank Magri,,34,77356,51,49,491,2026-08-07T08:26:57.998784+00:00
765158,842399,Alimami Gory,,34,77356,50,50,352,2026-08-07T08:26:59.759750+00:00
1213430,979315,Elye Wahi,,34,77356,39,61,305,2026-08-07T08:27:02.364980+00:00
1586559,1545376,Rayan Fofana,,34,77356,47,53,387,2026-08-07T08:27:04.946416+00:00
841395,875548,Aiyegun Tosin,,34,77356,47,53,334,2026-08-07T08:27:07.767476+00:00
883824,877979,Willem Geubbels,,34,77356,49,51,395,2026-08-07T08:27:12.185355+00:00
817724,867440,Danny Namaso,,34,77356,49,51,1195,2026-08-07T08:27:15.015999+00:00
1748405,2137784,Prosper Peter,,34,77356,58,42,499,2026-08-07T08:27:17.529322+00:00
1123587,1103141,Sambou Soumano,,34,77356,52,48,355,2026-08-07T08:27:20.063302+00:00
