player_id,player_name,season_name,mode,scope,competition,competition_name,heatmap_key,reason
1721789,Allan,2021/2022,league,8,all,Premier League,1721789:17:37036,snapshot_missing
1650431,Ally Samatta,2021/2022,league,8,all,Belgian Pro League,1650431:38:36894,source_history_unavailable
388523,André Silva,2021/2022,league,8,all,Primeira Liga,388523:238:37358,snapshot_missing
648362,Felipe Pires,2021/2022,league,8,all,Primeira Liga,648362:238:37358,snapshot_missing
967065,Habib Gueye,2021/2022,league,8,all,Belgian Pro League,967065:38:36894,source_history_unavailable
1521239,Hélder Ferreira,2021/2022,league,8,all,Primeira Liga,1521239:238:37358,snapshot_missing
41171,Marcus Pedersen,2021/2022,league,8,all,Eredivisie,41171:37:36890,snapshot_missing
1089731,Pedro Gonçalves,2021/2022,league,8,all,Primeira Liga,1089731:238:37358,snapshot_missing
1655748,Vinícius Souza,2021/2022,league,8,all,Belgian Pro League,1655748:38:36894,invalid_player_mapping
1207581,David Datro Fofana,2022/2023,europe,,all,All European competitions,1207581:17015:42224,snapshot_missing
962795,Emil Breivik,2022/2023,europe,,all,All European competitions,962795:17015:42224,snapshot_missing
848295,Emmanuel Banda,2022/2023,europe,,all,All European competitions,848295:17015:42224,snapshot_missing
664731,Fabien Ourega,2022/2023,europe,,all,All European competitions,664731:17015:42224,snapshot_missing
679352,Francis Kyeremeh,2022/2023,europe,,all,All European competitions,679352:17015:42224,snapshot_missing
1368557,Gift Orban,2022/2023,europe,,all,All European competitions,1368557:17015:42224,snapshot_missing
200267,Gustav Wikheim,2022/2023,europe,,all,All European competitions,200267:17015:42224,snapshot_missing
916335,Hampus Finndell,2022/2023,europe,,all,All European competitions,916335:17015:42224,snapshot_missing
49289,Haris Radetinac,2022/2023,europe,,all,All European competitions,49289:17015:42224,snapshot_missing
837064,Hugo Vetlesen,2022/2023,europe,,all,All European competitions,837064:679:44509,snapshot_missing
748381,Joel Asoro,2022/2023,europe,,all,All European competitions,748381:17015:42224,snapshot_missing
974753,Julián Alvarez,2022/2023,europe,,all,All European competitions,974753:7:41897,snapshot_missing
1369689,Justin Ferizaj,2022/2023,europe,,all,All European competitions,1369689:17015:42224,snapshot_missing
900433,Khvicha Kvaratskhelia,2022/2023,europe,,all,All European competitions,900433:7:41897,snapshot_missing
1176214,Luiz Henrique,2022/2023,europe,,all,All European competitions,1176214:679:44509,snapshot_missing
185389,Magnus Wolff Eikrem,2022/2023,europe,,all,All European competitions,185389:17015:42224,snapshot_missing
1185309,Malik Abubakari,2022/2023,europe,,all,All European competitions,1185309:17015:42224,snapshot_missing
1168520,Mayckel Lahdo,2022/2023,europe,,all,All European competitions,1168520:17015:42224,snapshot_missing
504033,Milan Gajić,2022/2023,europe,,all,All European competitions,504033:17015:42224,snapshot_missing
837066,Ola Brynhildsen,2022/2023,europe,,all,All European competitions,837066:17015:42224,snapshot_missing
530635,Patrick Berg,2022/2023,europe,,all,All European competitions,530635:679:44509,snapshot_missing
1089731,Pedro Gonçalves,2022/2023,europe,,all,All European competitions,1089731:7:41897,snapshot_missing
1089731,Pedro Gonçalves,2022/2023,europe,,all,All European competitions,1089731:679:44509,snapshot_missing
118142,Rasmus Schüller,2022/2023,europe,,all,All European competitions,118142:17015:42224,snapshot_missing
631369,Santeri Hostikka,2022/2023,europe,,all,All European competitions,631369:679:44509,snapshot_missing
570772,Sean Kavanagh,2022/2023,europe,,all,All European competitions,570772:17015:42224,snapshot_missing
658222,Victor Edvardsen,2022/2023,europe,,all,All European competitions,658222:17015:42224,snapshot_missing
1035208,Victor Okoh Boniface,2022/2023,europe,,all,All European competitions,1035208:679:44509,snapshot_missing
974753,Julián Alvarez,2022/2023,europe,,ucl,UEFA Champions League,974753:7:41897,snapshot_missing
900433,Khvicha Kvaratskhelia,2022/2023,europe,,ucl,UEFA Champions League,900433:7:41897,snapshot_missing
1089731,Pedro Gonçalves,2022/2023,europe,,ucl,UEFA Champions League,1089731:7:41897,snapshot_missing
1207581,David Datro Fofana,2022/2023,europe,,uecl,UEFA Europa Conference League,1207581:17015:42224,snapshot_missing
962795,Emil Breivik,2022/2023,europe,,uecl,UEFA Europa Conference League,962795:17015:42224,snapshot_missing
848295,Emmanuel Banda,2022/2023,europe,,uecl,UEFA Europa Conference League,848295:17015:42224,snapshot_missing
664731,Fabien Ourega,2022/2023,europe,,uecl,UEFA Europa Conference League,664731:17015:42224,snapshot_missing
679352,Francis Kyeremeh,2022/2023,europe,,uecl,UEFA Europa Conference League,679352:17015:42224,snapshot_missing
1368557,Gift Orban,2022/2023,europe,,uecl,UEFA Europa Conference League,1368557:17015:42224,snapshot_missing
200267,Gustav Wikheim,2022/2023,europe,,uecl,UEFA Europa Conference League,200267:17015:42224,snapshot_missing
916335,Hampus Finndell,2022/2023,europe,,uecl,UEFA Europa Conference League,916335:17015:42224,snapshot_missing
49289,Haris Radetinac,2022/2023,europe,,uecl,UEFA Europa Conference League,49289:17015:42224,snapshot_missing
748381,Joel Asoro,2022/2023,europe,,uecl,UEFA Europa Conference League,748381:17015:42224,snapshot_missing
1369689,Justin Ferizaj,2022/2023,europe,,uecl,UEFA Europa Conference League,1369689:17015:42224,snapshot_missing
