fotmob_player_id,player_name,competition_name,season_name,heatmap_key,reason
628820,Daniel Stensson,UEFA Europa Conference League,2024/2025,628820:17015:61648,snapshot_missing
962795,Emil Breivik,UEFA Europa Conference League,2024/2025,962795:17015:61648,snapshot_missing
277793,Tokmac Chol Nguen,UEFA Europa Conference League,2024/2025,277793:17015:61648,snapshot_missing
1312274,Armandas Kučys,UEFA Europa Conference League,2024/2025,1312274:17015:61648,snapshot_missing
1239600,Johnny Kenny,UEFA Europa Conference League,2024/2025,1239600:17015:61648,snapshot_missing
1166548,Frederik Ihler,UEFA Europa Conference League,2024/2025,1166548:17015:61648,snapshot_missing
1044460,Ari Sigurpálsson,UEFA Europa Conference League,2024/2025,1044460:17015:61648,snapshot_missing
837066,Ola Brynhildsen,UEFA Europa Conference League,2024/2025,837066:17015:61648,snapshot_missing
909448,Charalampos Charalampous,UEFA Europa Conference League,2024/2025,909448:17015:61648,snapshot_missing
1311533,August Priske,UEFA Europa Conference League,2024/2025,1311533:17015:61648,snapshot_missing
185389,Magnus Wolff Eikrem,UEFA Europa Conference League,2024/2025,185389:17015:61648,snapshot_missing
619365,Besard Sabović,UEFA Europa Conference League,2024/2025,619365:17015:61648,snapshot_missing
301367,Graham Burke,UEFA Europa Conference League,2024/2025,301367:17015:61648,snapshot_missing
363351,Lee Erwin,UEFA Europa Conference League,2024/2025,363351:17015:61648,snapshot_missing
1521239,Hélder Ferreira,UEFA Europa Conference League,2024/2025,1521239:17015:61648,snapshot_missing
558136,Karol Świderski,UEFA Europa Conference League,2024/2025,558136:17015:61648,snapshot_missing
641044,Dylan Watts,UEFA Europa Conference League,2024/2025,641044:17015:61648,snapshot_missing
1705611,Edmilson,UEFA Europa Conference League,2024/2025,1705611:17015:61648,snapshot_missing
1000834,Oskar Fallenius,UEFA Europa Conference League,2024/2025,1000834:17015:61648,snapshot_missing
614163,Deniz Hümmet,UEFA Europa Conference League,2024/2025,614163:17015:61648,snapshot_missing
850356,Pêpê,UEFA Europa Conference League,2024/2025,850356:17015:61648,snapshot_missing
1383059,Gisli Thordarson,UEFA Europa Conference League,2024/2025,1383059:17015:61648,snapshot_missing
1227813,Atsuki Ito,UEFA Europa Conference League,2024/2025,1227813:17015:61648,snapshot_missing
1068590,Joshua Honohan,UEFA Europa Conference League,2024/2025,1068590:17015:61648,snapshot_missing
1185549,Mads Enggård,UEFA Europa Conference League,2024/2025,1185549:17015:61648,snapshot_missing
863652,Neil Farrugia,UEFA Europa Conference League,2024/2025,863652:17015:61648,snapshot_missing
530635,Patrick Berg,UEFA Europa League,2024/2025,530635:679:61645,snapshot_missing
848573,Ousseynou Niang,UEFA Europa League,2024/2025,848573:679:61645,snapshot_missing
632870,Håkon Evjen,UEFA Europa League,2024/2025,632870:679:61645,snapshot_missing
741397,Jens Petter Hauge,UEFA Europa League,2024/2025,741397:679:61645,snapshot_missing
741561,Erik Botheim,UEFA Europa League,2024/2025,741561:679:61645,snapshot_missing
310763,Ulrik Saltnes,UEFA Europa League,2024/2025,310763:679:61645,snapshot_missing
463803,Jānis Ikaunieks,UEFA Europa League,2024/2025,463803:679:61645,snapshot_missing
1459656,Erick Marcus,UEFA Europa League,2024/2025,1459656:679:61645,snapshot_missing
