playerId,name,season,mode,scope,competition,missingFields,derivableFields,requiredProviderInputs,providerLookupResult,reason,timestamp
488139,Bernardo Silva,2021/2022,europe,,ucl,aerial_duels_won;aerial_duel_attempts_raw,,verified_sportsapi_player_id;exact_tournament_id;exact_season_id;aerial_duels_won; aerial_duel_attempts;count_units,not_attempted_no_verified_sportsapi_raw_duel_schema,static_source_field_absent,2026-08-22T00:00:00+00:00
1079485,Beto,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
95615,Brecht Capon,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
951043,Bruno Duarte,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
683709,Bruno Rodrigues,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
659493,Bryan Heynen,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
358676,Carlinhos,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
866201,Carlos Vinícius,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
352898,Casper Nielsen,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
688991,Casper de Norre,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
